,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Población,Population,Oro,Plata,Bronce,Medals
1,Alemania (GER),0.928,43858.36,0,383,212,171,0,0.45,80425823,80.426,11,19,14,44
2,Australia (AUS),0.899,68012.15,0,406,221,185,0,0.46,22733465,22.733,8,15,12,35
3,Brasil (BRA),0.736,12370.02,0,247,130,117,0,0.47,199287296,199.287,3,5,9,17
4,Canadá (CAN),0.908,52542.35,0,273,119,154,0,0.56,34714222,34.714,2,5,11,18
5,China (CHN),0.722,6316.92,0,375,160,215,1,0.57,1350695000,1350.695,38,31,22,91
6,Corea del Norte (PRK),0.6,641.00,0,52,15,37,1,0.71,24800612,24.801,4,0,2,6
7,Corea del Sur (KOR),0.890,24358.78,0,250,135,115,0,0.46,50199853,50.200,13,9,8,30
8,Cuba (CUB),0.767,6497.32,0,109,65,44,1,0.40,11257101,11.257,5,3,7,15
9,EEUU (USA),0.918,51610.61,0,530,262,268,0,0.51,313830990,313.831,46,28,30,104
10,España (ESP),0.873,28324.43,0,279,168,111,0,0.40,46773055,46.773,4,10,4,18
11,Etiopía (ETH),0.43,467.08,0,33,18,15,0,0.45,92726971,92.727,3,2,3,8
12,Francia (FRA),0.886,40874.70,0,324,182,142,0,0.44,65659809,65.660,11,11,13,35
13,Gran Bretaña (GBR),0.898,42462.77,1,530,273,257,0,0.48,63700215,63.700,29,17,19,65
14,Grecia (GRE),0.854,22242.68,0,102,65,37,0,0.36,11045011,11.045,0,0,2,2
15,Hungría (HUN),0.830,12918.25,0,152,93,59,0,0.39,9920362,9.920,8,4,6,18
16,India (IND),0.600,1443.88,0,81,58,23,0,0.28,1265782790,1265.783,0,2,4,6
17,Indonesia (INA),0.675,3694.35,0,22,13,9,0,0.41,248452413,248.452,0,2,1,3
18,Irán (IRI),0.781,7927.65,0,53,45,8,0,0.15,75539862,75.540,7,5,1,13
19,Italia (ITA),0.874,35053.53,0,281,158,123,0,0.44,59539717,59.540,8,9,11,28
20,Jamaica (JAM),0.721,5209.85,0,45,23,22,0,0.49,2842132,2.842,4,5,3,12
21,Japón (JPN),0.895,48603.48,0,292,136,156,0,0.53,127629000,127.629,7,14,17,38
