,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Poblacion,Population,Oro,Plata,Bronce,Medals
1,GER,0.814,26438.23,0,463,300,163,0,0.35,80624598,80.625,33,21,28,82
2,AUS,0.868,18569.81,0,279,187,92,0,0.33,17495000,17.495,7,9,11,27
3,BRA,0.622,2596.92,0,182,132,50,0,0.27,154259380,154.259,2,1,0,3
4,CAN,0.856,20879.85,0,295,179,116,0,0.39,28371264,28.371,7,4,7,18
5,CHN,0.521,366.46,0,244,117,127,1,0.52,1164970000,1164.97,16,22,16,54
6,PRK,0.6,0.595,0,64,36,28,1,0.44,20937404,20.937,4,0,5,9
7,KOR,0.746,8001.54,0,226,154,72,0,0.32,43747962,43.748,12,5,12,29
8,CUB,0.663,2057.1,0,176,126,50,1,0.28,10736387,10.736,14,6,11,31
9,USA,0.867,25418.99,0,545,355,190,0,0.35,256514000,256.514,37,34,37,108
10,ESP,0.772,16112.19,1,422,297,125,0,0.3,39157685,39.158,13,7,2,22
11,ETH,0.283,204.05,0,20,14,6,0,0.3,51423585,51.424,1,0,2,3
12,FRA,0.798,23813.71,0,339,241,98,0,0.29,58851217,58.851,8,5,16,29
13,GBR,0.801,20487.17,0,371,229,142,0,0.38,57580402,57.58,5,3,12,20
14,GRE,0.764,11176.46,0,70,56,14,0,0.2,10399061,10.399,2,0,0,2
15,HUN,0.706,3735.11,0,217,159,58,0,0.27,10369341,10.369,11,12,7,30
16,IND ,0.438,316.95,0,52,46,6,0,0.12,909307016,909.307,0,0,0,0
17,INA,0.539,681.94,0,42,27,15,0,0.36,187739786,187.74,2,2,1,5
18,IRI,0.608,1932.8,0,36,36,0,0,0,58780370,58.78,0,1,2,3
19,ITA,0.78,23243.47,0,304,228,76,0,0.25,56797087,56.797,6,5,8,19
20,JAM,0.645,1434.71,0,36,22,14,0,0.39,2461049,2.461,0,3,1,4
21,JPN,0.824,31464.55,0,256,175,81,0,0.32,124229000,124.229,3,8,11,22
22,KEN,0.463,324.14,0,49,40,9,0,0.18,25326078,25.326,2,4,2,8
23,MEX,0.658,4170.62,0,102,76,26,0,0.25,87075138,87.075,0,1,0,1
24,NOR,0.862,30523.99,0,83,51,32,0,0.39,4286401,4.286,2,4,1,7
25,NZL,0.825,11793.14,0,134,92,42,0,0.31,3531700,3.532,1,4,5,10
26,NED,0.835,23904.04,0,201,117,84,0,0.42,15184166,15.184,2,6,7,15
27,POL,0.714,2459.02,0,201,149,52,0,0.26,38363667,38.364,3,6,10,19
28,ROU,0.678,1102.1,0,172,104,68,0,0.4,22794284,22.794,4,6,8,18
29,RUS,0.718,3095.66,0,604,396,208,1,0.34,148689000,148.689,45,38,29,112
30,THA,0.589,1927.88,0,46,23,23,0,0.5,55748948,55.749,0,0,1,1
31,TUR,0.589,2842.37,0,41,36,5,0,0.12,55748948,55.749,2,2,2,6
